Job_name,Company,Region,Salary,Url
人力资源主管,万科企业股份有限公司,深圳-盐田区,1.5-2万/月,https://jobs.51job.com/shenzhen-ytq/119977927.html?s=01&t=0
高级UE设计师,奇虎360科技有限公司,北京,2.5-3万/月,https://jobs.51job.com/beijing/114144610.html?s=01&t=0
高级培训经理,顺丰速运有限公司,深圳-南山区,1.5-3万/月,http://sfzhaopin.51job.com/sc/show_job_detail.php?jobid=119923010
招聘专员,无锡市顺丰速运有限公司,无锡-无锡新区,6-8千/月,http://sfzhaopin.51job.com/sc/show_job_detail.php?jobid=116535698
人才发展专员,上海顺丰速运有限公司,上海-青浦区,1-2万/月,http://sfzhaopin.51job.com/sc/show_job_detail.php?jobid=97826327
助理产品经理-超威,广州超威生物科技有限公司,广州-荔湾区,0.6-1万/月,https://jobs.51job.com/guangzhou-lwq/120006480.html?s=01&t=0
家庭早教师（住家）,广州澳希亚实业有限公司,广州,0.8-1万/月,https://jobs.51job.com/guangzhou/108277571.html?s=01&t=0
HRBP,51talk无忧英语,武汉,0.7-1.2万/月,https://jobs.51job.com/wuhan/119951721.html?s=01&t=0
内容运营实习生,广州沐思信息科技有限公司,广州-天河区,2-3千/月,https://jobs.51job.com/guangzhou-thq/118132878.html?s=01&t=0
月薪7K夜班银行粤语客服,蓝熙集团,广州-越秀区,6-8千/月,https://jobs.51job.com/guangzhou-yxq/119978494.html?s=01&t=0
网络电话销售7.5K-10K,深圳市乐有家控股集团有限公司,深圳-龙岗区,300元/天,https://jobs.51job.com/shenzhen-lgq/116020715.html?s=01&t=0
心理咨询师,元大中医连锁（深圳）有限公司,深圳-南山区,0.8-1万/月,https://jobs.51job.com/shenzhen-nsq/119892869.html?s=01&t=0
高级绩效经理/绩效考核经理,上海三问投资控股集团有限公司,上海,1-1.5万/月,https://jobs.51job.com/shanghai/120009615.html?s=01&t=0
招聘经理/高级经理,佳兆业地产深圳公司,深圳-罗湖区,2-3万/月,https://jobs.51job.com/shenzhen-lhq/120013696.html?s=01&t=0
销售经理,中国人寿保险股份有限公司上海市分...,上海-浦东新区,15-20万/年,https://jobs.51job.com/shanghai-pdxq/119971648.html?s=01&t=0
大客户经理,长沙主动教育咨询有限公司,长沙-雨花区,0.8-1万/月,https://jobs.51job.com/changsha-yhq/109899621.html?s=01&t=0
活动策划主管,上海菲菲羊儿童乐园有限公司,上海-静安区,0.6-1.2万/月,https://jobs.51job.com/shanghai-jaq/115592116.html?s=01&t=0
班主任（高薪诚聘）,郑州郑大经管企业管理咨询有限公司...,郑州-二七区,6-8千/月,https://jobs.51job.com/erqiqu/119752486.html?s=01&t=0
月薪8100夜班粤语客服（电话面试）,迪昆集团,广州-越秀区,6-8千/月,https://jobs.51job.com/guangzhou-yxq/119936464.html?s=01&t=0
网络销售/储备经理/提供住宿/贝壳APP,贝壳找房（深圳）科技有限公司,深圳-福田区,0.5-1万/月,https://jobs.51job.com/shenzhen-ftq/120012879.html?s=01&t=0
南山区大学生团队储备干部一对一带教7500起,深圳市乐有家控股集团有限公司,深圳-南山区,1-1.5万/月,https://jobs.51job.com/shenzhen-nsq/120009778.html?s=01&t=0
高级招聘专员/人事专员,广州市链家房地产代理有限公司,广州,5-8千/月,https://jobs.51job.com/guangzhou/114242385.html?s=01&t=0
招聘主管/专员,广东碧桂园元海物业服务有限公司,佛山-禅城区,5-7千/月,https://jobs.51job.com/foshan-ccq/120013952.html?s=01&t=0
